#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,4,38,4316,3195,4162,3663,7511,7825,314,0.2839486356340289,0.20131972111553784,0.2592295345104334,0.2595866533864542,0.08262891451849105,0.00035711887602080106
20,20,100,17,335,11662,15246,14218,14418,26908,28636,1728,0.17392403235124207,0.2972494000369208,0.2662117273252455,0.2666789736016245,0.12332536768567873,0.0004672462763790075
30,30,100,13,641,26231,28881,27323,28272,55112,55595,483,0.22856136023257861,0.259595713132754,0.24780195577482161,0.2481653184181385,0.031034352900175366,0.00036336264331687795
40,40,100,24,1736,41397,50090,46570,47817,91487,94387,2900,0.1973826463895553,0.27543823646948273,0.25064610125513537,0.25088835365656087,0.07805559007992743,0.0002422524014255023
50,50,100,38,4190,83221,93253,91319,90143,176474,181462,4988,0.22047502145104395,0.28680566792260925,0.2687279530937172,0.26883336030142624,0.06633064647156531,0.00010540720770901846
