#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,3,47,4316,3195,4040,3490,7511,7530,19,0.2839486356340289,0.20131972111553784,0.23964686998394863,0.23804780876494025,0.08262891451849105,0.0015990612190083797
20,20,100,6,355,11662,15246,13456,13660,26908,27116,208,0.17392403235124207,0.2972494000369208,0.23869872905834777,0.23869300350747646,0.12332536768567873,5.725550871304996e-06
30,30,100,6,1058,26231,28881,27135,28077,55112,55212,100,0.22856136023257861,0.259595713132754,0.24448947229319004,0.24450533981493647,0.031034352900175366,1.5867521746426583e-05
40,40,100,12,3605,41397,50090,45427,46705,91487,92132,645,0.1973826463895553,0.27543823646948273,0.2388772767990445,0.23887802823290527,0.07805559007992743,7.514338607739202e-07
50,50,100,10,5136,83221,93253,89493,88243,176474,177736,1262,0.22047502145104395,0.28680566792260925,0.25784750691200303,0.2578534939090636,0.06633064647156531,5.986997060558608e-06
