#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,10,3,37,307,302,304,305,609,609,0,0.25528169014084506,0.24424778761061947,0.25,0.24955752212389382,0.011033902530225598,0.0004424778761061843
25,25,10,12,467,3034,2350,2892,2665,5384,5557,173,0.323923782639379,0.22950506401681636,0.290519877675841,0.2896999808905026,0.09441871862256263,0.000819896785338392
50,50,10,14,1617,10467,10320,10421,10387,20787,20808,21,0.279281229703399,0.27320085929108484,0.27679151331457025,0.27679914070891515,0.006080370412314184,7.627394344900118e-06
100,100,10,22,10491,43170,41956,42792,42619,85126,85411,285,0.2905349794238683,0.27655596950152894,0.2854347972745058,0.28540907209336486,0.013979009922339358,2.5725181140967557e-05
150,150,10,63,51678,87514,93742,91410,91656,181256,183066,1810,0.2612892852283831,0.2983661066762973,0.28538298846025406,0.28537715289106963,0.03707682144791424,5.8355691844313995e-06
10,10,25,6,48,1025,848,982,933,1873,1915,42,0.30739299610894943,0.22761849034523113,0.2795071335927367,0.27735517846693974,0.0797745057637183,0.002151955125796967
25,25,25,4,157,6880,6902,7002,6810,13782,13812,30,0.29103357719002065,0.31014517801590047,0.3024760832864378,0.30219495333563773,0.019111600825879815,0.0002811299508000964
50,50,25,37,3924,18681,23561,21324,22508,42242,43832,1590,0.2057701424475698,0.29220285743236396,0.26543558254509336,0.26552842233255647,0.08643271498479416,9.283978746310595e-05
100,100,25,15,7110,93511,94158,93729,94038,187669,187767,98,0.2618022131258153,0.2637224475001699,0.2630279789483154,0.2630428380490678,0.001920234374354568,1.4859100752384613e-05
150,150,25,71,57306,187692,215295,202107,208643,402987,410750,7763,0.2365710956891748,0.2912535782800787,0.2730814041841852,0.2731008849847318,0.054682482590903886,1.9480800546589627e-05
10,10,50,4,38,2176,1807,2022,2038,3983,4060,77,0.3420018143332325,0.22225725094577553,0.29543392803144847,0.29508196721311475,0.11974456338745698,0.0003519608183337186
25,25,50,15,423,10327,11826,11158,11506,22153,22664,511,0.2298488080883035,0.28463363986947493,0.26838883220480475,0.2688124196578661,0.05478483178117144,0.00042358745306136925
50,50,50,31,3244,49214,33609,45573,42247,82823,87820,4997,0.31936732952680974,0.17545496966868876,0.27157576950843343,0.2714263493544875,0.14391235985812098,0.00014942015394592278
100,100,50,34,13341,177910,179120,176271,181974,357030,358245,1215,0.26047571103558376,0.24740276147020793,0.2559171844492777,0.2558863308710967,0.01307294956537583,3.085357818100043e-05
150,150,50,31,28800,388307,387451,387187,389866,775758,777053,1295,0.2548018677107544,0.25016710591020974,0.25334596845898266,0.2533510173355078,0.004634761800544673,5.0488765251377465e-06
10,10,100,11,65,3594,4739,4188,4391,8333,8579,246,0.21059046587215602,0.345372460496614,0.2910346695557963,0.2930022573363431,0.134781994624458,0.0019675877805467867
25,25,100,16,562,24788,16238,22893,21122,41026,44015,2989,0.3470986626872525,0.17659534357620887,0.2927165241347644,0.2916863040814403,0.1705033191110436,0.0010302200533240935
50,50,100,27,2749,88105,86021,87087,88201,174126,175288,1162,0.2612153273239829,0.2422498629875855,0.25531038643139714,0.2552362570591179,0.018965464336397397,7.412937227924132e-05
100,100,100,38,14926,374775,331262,362573,356565,706037,719138,13101,0.2858656941022245,0.23089291922586627,0.26752186992151034,0.26754693475489627,0.05497277487635824,2.5064833385934904e-05
150,150,100,102,74949,820676,741422,796490,794148,1562098,1590638,28540,0.28006045777998767,0.2295937071213851,0.2641320060721213,0.2641100101599405,0.050466750658602566,2.1995912180772237e-05
10,10,150,9,58,5253,8580,7011,7528,13833,14539,706,0.18200270635994586,0.4419511167298778,0.3306833558863329,0.33112094395280234,0.25994841036993194,0.0004375880664694298
25,25,150,16,514,31994,34783,34372,33783,66777,68155,1378,0.2256515008856901,0.2785827328180938,0.26360052981823406,0.2632177373507675,0.052931231932403705,0.00038279246746658613
50,50,150,25,2467,126270,102578,121286,114175,228848,235461,6613,0.2724652728053845,0.20377114638222846,0.25016110554203064,0.250030914305545,0.06869412642315606,0.0001301912364856106
100,100,150,44,16095,601064,561591,586805,589772,1162655,1176577,13922,0.2877776165571342,0.24821369754315573,0.2745995233003365,0.2745834144296558,0.03956391901397846,1.6108870680708876e-05
150,150,150,72,65052,1413943,1230916,1378211,1311867,2644859,2690078,45219,0.2936097187023061,0.246585423415247,0.27797487363306683,0.27795593147169073,0.04702429528705912,1.894216137610094e-05
