#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,10,7,78,461,316,415,363,777,778,1,0.3395904436860068,0.19974059662775617,0.26109215017064846,0.2607003891050584,0.13984984705825065,0.0003917610655900794
10,25,10,7,443,803,1369,598,1645,2172,2243,71,0.40992366412213743,0.14655839133797371,0.2534351145038168,0.2532869296210363,0.2633652727841637,0.0001481848827804555
10,50,10,10,2026,1299,5124,828,5773,6423,6601,178,0.3976923076923077,0.1258917331095258,0.21653846153846154,0.2166736606518394,0.27180057458278184,0.00013519911337786517
10,100,10,8,5692,2091,23962,1228,25126,26053,26354,301,0.3041245651813815,0.10956529469286158,0.16117276793109162,0.161303226953507,0.1945592704885199,0.00013045902241537455
25,25,10,5,571,2803,2606,2719,2693,5409,5412,3,0.29684481648422406,0.2607419828128275,0.278815196394076,0.2789771536365542,0.03610283367139655,0.00016195724247819454
25,50,10,9,2772,3517,6397,2990,6997,9914,9987,73,0.3095938001068947,0.18497737556561086,0.23917691074291822,0.23927601809954752,0.12461642454128383,9.91073566292966e-05
25,100,10,16,8298,3015,22386,3327,22115,25401,25442,41,0.16071294840110836,0.19458137639250087,0.18407848423575227,0.18406241509141016,0.0338684279913925,1.606914434210127e-05
50,50,10,15,7704,10755,9468,10278,10031,20223,20309,86,0.2990941623797808,0.2427061310782241,0.2724222768955491,0.2724630021141649,0.0563880313015567,4.0725218615811354e-05
50,100,10,56,85137,17785,26343,13855,30976,44128,44831,703,0.4043369474562135,0.171088322858088,0.27322768974145123,0.2732605579446466,0.2332486245981255,3.286820319536865e-05
100,100,10,27,68042,39492,36306,38320,37514,75798,75834,36,0.2805529239514254,0.2471785459924396,0.26372979645738237,0.2637237714348326,0.03337437795898579,6.02502254976045e-06
10,10,25,5,71,1175,796,1024,953,1971,1977,6,0.3554590570719603,0.17958311063602353,0.2617866004962779,0.26349545697487975,0.17587594643593676,0.0017088564786018612
