#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,25,25,9,406,1994,3633,1498,4287,5627,5785,158,0.41271262309758283,0.15511163337250294,0.26469710534168905,0.2648984388114823,0.2576009897250799,0.00020133346979323008
10,50,25,8,1347,2482,11030,1644,12363,13512,14007,495,0.33090185676392575,0.11197979312003849,0.1919761273209549,0.1921457782054366,0.21892206364388728,0.0001696508844817035
10,100,25,7,5912,6107,51134,2826,56367,57241,59193,1952,0.40153046491481376,0.06876649076517151,0.16466936182500722,0.16465112870126064,0.33276397414964226,1.823312374657493e-05
25,25,25,6,556,5780,5235,5588,5438,11015,11026,11,0.275797373358349,0.23794843049327355,0.2568381554260887,0.2569133034379671,0.037848942865075424,7.514801187841202e-05
25,50,25,11,3413,10435,16253,8564,18561,26688,27125,437,0.37682388870037326,0.1908497639544571,0.2710100667345323,0.2709663982227159,0.18597412474591615,4.3668511816419286e-05
25,100,25,11,9683,12535,63736,10822,65656,76271,76478,207,0.2616454604270002,0.18806540909220626,0.21546797498382575,0.21546188750321052,0.07358005133479395,6.087480615230012e-06
50,50,25,8,3518,25648,23951,25122,24502,49599,49624,25,0.27880572854605545,0.25529156749404963,0.26697992310978214,0.2670010200612037,0.023514161052005822,2.109695142155088e-05
50,100,25,18,25424,33912,68764,30489,72587,102676,103076,400,0.2880724931811425,0.20889916473233053,0.2438242479866596,0.24383601703434285,0.07917332844881195,1.1769047683241052e-05
100,100,25,33,81989,75628,85566,79818,81668,161194,161486,292,0.21630975684535741,0.264985643049945,0.24101436286880026,0.24101845190882876,0.04867588620458757,4.089040028493196e-06
10,10,50,5,62,1996,2205,2176,2047,4201,4223,22,0.23030303030303031,0.3305245990758358,0.28771929824561404,0.2875781462353901,0.1002215687728055,0.00014115201022396606
10,25,50,5,248,4161,8389,3191,9550,12550,12741,191,0.3850379283285378,0.16530383197049864,0.2581742087365943,0.2583774250440917,0.21973409635803914,0.00020321630749742248
10,50,50,12,1956,6619,25736,4185,28844,32355,33029,674,0.40452047372087624,0.1309060819197352,0.2161157984364115,0.2166321886636326,0.273614391801141,0.0005163902272211085
10,100,50,10,6442,10204,107654,5664,113714,117858,119378,1520,0.3318033268461058,0.1056062197528198,0.1650938199977968,0.1650943859270239,0.226197107093286,5.659292271198435e-07
25,25,50,8,681,15436,11477,13903,13309,26913,27212,299,0.35601114104378795,0.21110338338174528,0.2860143372448747,0.2860532667839463,0.14490775766204267,3.892953907164154e-05
25,50,50,7,1796,17342,33512,15700,35492,50854,51192,338,0.29446048109965633,0.2142234865321362,0.24931958762886597,0.24942661569917327,0.08023699456752015,0.00010702807030729677
25,100,50,29,33544,29809,101133,20116,112944,130942,133060,2118,0.35327854046242774,0.13078379499948128,0.2073699421965318,0.20736720614171594,0.22249474546294645,2.736054815849487e-06
50,50,50,5,2884,42205,40227,41675,40788,82432,82463,31,0.26539308565396996,0.25149737880882117,0.2584865583340935,0.25848307121421543,0.013895706845148792,3.4871198780761503e-06
50,100,50,29,43041,77569,115851,61417,136859,193420,198276,4856,0.37081303885842243,0.16104968396031047,0.2556283739935961,0.25562748734940843,0.20976335489811196,8.866441876809183e-07
100,100,50,5,12902,171074,179121,171959,178242,350195,350201,6,0.24906489725068592,0.25418591701906723,0.25154263956548517,0.2515402790109708,0.0051210197683813075,2.3605545143579043e-06
10,10,100,5,62,2488,3816,3367,3364,6304,6731,427,0.11643948103136804,0.33722766024628986,0.260798160617507,0.26586675086832967,0.22078817921492183,0.00506859025082268
10,25,100,6,301,9925,20718,7964,23071,30643,31035,392,0.40973414648587836,0.20481882281965236,0.2936230682692877,0.2935409675351608,0.204915323666226,8.210073412689978e-05
10,50,100,6,1005,13096,55591,8272,63188,68687,71460,2773,0.37862474631075643,0.10308132147395171,0.21268618210587872,0.2127757883793462,0.2755434248368047,8.960627346746297e-05
10,100,100,11,7999,18849,173113,9131,187446,191962,196577,4615,0.33688488132303585,0.07711563592695934,0.14041082042780317,0.14039487161374634,0.2597692453960765,1.5948814056837568e-05
25,25,100,9,797,26946,18955,23719,23523,45901,47242,1341,0.36397338636419435,0.17436232515367117,0.2847462620608382,0.28490876530661635,0.18961106121052318,0.0001625032457781561
25,50,100,14,2269,21578,73102,26270,70165,94680,96435,1755,0.17107922002702877,0.26370805866029023,0.2314692065126456,0.23149316105255074,0.09262883863326146,2.395453990514107e-05
25,100,100,6,5865,45771,243842,42250,247814,289613,290064,451,0.2358900657000453,0.19739286006937806,0.21096227911191662,0.21095435797984213,0.03849720563066725,7.921132074484305e-06
50,50,100,7,3198,75809,82545,78704,80027,158354,158731,377,0.23338257952837785,0.2682179073972172,0.25173894021342835,0.2517228729397584,0.03483532786883933,1.606727366992855e-05
50,100,100,13,20033,119996,239262,106572,254265,359258,360837,1579,0.27512252320568453,0.19214067724103978,0.227994972686804,0.22799587986607175,0.08298184596464475,9.071792677617374e-07
100,100,100,20,53485,306694,281725,296831,293076,588419,589907,1488,0.24489702336245406,0.21172995467043174,0.22930149820136775,0.22930290307398876,0.03316706869202232,1.4048726210136309e-06
