#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E,diff_fo_norm
10,10,100.0,9.2,110.8,3384.2,3533.8,3536.0,3479.4,6918.0,7015.4,97.4,0.23569809079568455,0.2713332991646085,0.24732470004289517,0.2467081341458691,0.1907897967334245,0.0017922174879016802,0.18899757924552277
30,30,100.0,35.8,3025.0,30146.8,31214.4,30608.4,31194.4,61361.2,61802.8,441.6,0.24587230278308736,0.25630127688297233,0.2509914472386613,0.2509056443528793,0.10319842846456737,9.767947588706387e-05,0.1031007489886803
50,50,100.0,37.8,11423.4,88855.2,91949.6,90246.0,90880.8,180804.8,181126.8,322.0,0.2528355523546781,0.26633508554302165,0.2593794436231347,0.2593840507206694,0.04787464827312598,8.181961217296196e-06,0.047866466311908704
70,70,100.0,71.4,48237.6,158528.8,170519.6,164153.4,165521.0,329048.4,329674.4,626.0,0.23272203410447084,0.2641014502875295,0.24846059543995436,0.24846036692648318,0.04993044624734994,2.807089024098319e-06,0.04992763915832582
90,90,100.0,154.8,210194.0,251510.8,283475.2,264303.6,272200.2,534986.0,536503.8,1517.8,0.22896154376723743,0.2752014875461275,0.25224574009159506,0.25224546814669574,0.06255438147123123,1.1493155199049366e-06,0.06255323215571132
