#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E,diff_fo_norm
10,10,100.0,21.0,179.4,3384.2,3533.8,3671.4,3631.8,6918.0,7303.2,385.2,0.23569809079568455,0.2713332991646085,0.26889490495705637,0.2691553778860939,0.1907897967334245,0.0038046370743505795,0.18698515965907384
30,30,100.0,98.0,3838.2,30146.8,31214.4,31427.8,31943.4,61361.2,63371.2,2010.0,0.24587230278308736,0.25630127688297233,0.26444414966405216,0.26424162854216304,0.10319842846456737,0.00045518527968114,0.10274324318488622
50,50,100.0,134.6,12452.8,88855.2,91949.6,91353.6,91992.4,180804.8,183346.0,2541.2,0.2528355523546781,0.26633508554302165,0.2659562968760798,0.265959066021946,0.04787464827312598,7.027913469856794e-05,0.047804369138427415
70,70,100.0,268.4,46274.8,158528.8,170519.6,166431.6,167666.8,329048.4,334098.4,5050.0,0.23272203410447084,0.2641014502875295,0.25513440694161493,0.2551370339935281,0.04993044624734994,6.607171129717204e-05,0.04986437453605274
90,90,100.0,485.8,143637.2,251510.8,283475.2,268898.6,276434.2,534986.0,545332.8,10346.8,0.22896154376723743,0.2752014875461275,0.2606607348839588,0.26068029428804274,0.06255438147123123,4.196658000219511e-05,0.06251241489122902
