#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,7,65,4615,3243,4320,3936,7858,8256,398,0.334725345326052,0.19638914144694117,0.28734339865081915,0.28640083127678917,0.13833620387911086,0.0009425673740299789
20,20,100,10,194,18951,11542,17581,15733,30493,33314,2821,0.34983392692784826,0.16790198154590832,0.2950098043138981,0.2946906670700348,0.18193194538193994,0.0003191372438633433
30,30,100,8,542,35441,34725,35132,35253,70166,70385,219,0.28776107685513813,0.27418876137712705,0.28270718503132103,0.28289473684210525,0.013572315478011077,0.00018755181078422556
40,40,100,6,654,59559,58694,59305,59410,118253,118715,462,0.2732455532455532,0.2641843971631206,0.2708985908985909,0.2708310125877242,0.009061156082432631,6.757831086673383e-05
50,50,100,30,3025,65132,83666,74849,79575,148798,154424,5626,0.1840287291658165,0.26714103005239204,0.24067672109739816,0.24058144139816012,0.08311230088657554,9.527969923803226e-05
60,60,100,40,4966,110421,145503,131103,136077,255924,267180,11256,0.20375744554630068,0.32826556513093935,0.28665854303786303,0.28679960759989265,0.12450811958463867,0.0001410645620296136
70,70,100,27,5080,182534,189206,187096,187266,371740,374362,2622,0.25414978771193,0.27285404800505014,0.2672193987176769,0.2672874133800089,0.018704260293120167,6.801466233197218e-05
80,80,100,38,9674,209889,224820,218289,221362,434709,439651,4942,0.2383833623272781,0.2660652549183719,0.25778966799045394,0.25784300204961885,0.0276818925910938,5.3334059164911185e-05
90,90,100,28,10293,283420,262639,279390,272553,546059,551943,5884,0.2616149232336188,0.23618166191476725,0.2540137311856351,0.2539703330755525,0.02543326131885154,4.3398110082581987e-05
100,100,100,43,16014,272077,308312,292569,300329,580389,592898,12509,0.2091969645486465,0.2546372866040172,0.24143290419199356,0.24147364220545048,0.045440322055370685,4.0738013456914635e-05
120,120,100,98,48465,600309,477957,569724,552573,1078266,1122297,44031,0.3198064534208486,0.21646274490994988,0.28806244804040315,0.2880385620758292,0.10334370851089875,2.3885964573977514e-05
150,150,100,32,29082,688054,688466,685616,693212,1376520,1378828,2308,0.24406893574092367,0.2389772383609794,0.24236566291406367,0.2423623830962448,0.005091697379944277,3.2798178188631066e-06
170,170,100,51,54602,857399,903212,873270,897081,1760611,1770351,9740,0.23602946250657741,0.24806942248922792,0.24458603258947442,0.24459069487172794,0.012039959982650505,4.662282253514727e-06
200,200,100,116,158512,1411370,1299500,1383587,1363200,2710870,2746787,35917,0.2666596028162219,0.23300498535006778,0.2562205093637349,0.25621893266862,0.03365461746615414,1.576695114913207e-06
220,220,100,17,52258,1770573,1713406,1769374,1716415,3483979,3485789,1810,0.2582074576071351,0.25697344921329135,0.2578393179314419,0.25783952669398164,0.001234008393843744,2.0876253975510295e-07
250,250,100,69,165503,2187772,2102475,2171993,2140223,4290247,4312216,21969,0.259844095324738,0.24723125385172434,0.25604448474930375,0.256046404477353,0.01261284147301367,1.919728049248892e-06
