#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,6,59,5707,4226,5421,4916,9933,10337,404,0.3599941724941725,0.23473389355742297,0.31832750582750585,0.31204481792717087,0.12526027893674951,0.006282687900334982
20,20,100,7,160,14525,13260,14353,13618,27785,27971,186,0.25173431451458356,0.23245201518793326,0.24514200298953662,0.24492284111889087,0.019282299326650293,0.00021916187064574544
30,30,100,7,336,34942,35569,35155,35483,70511,70638,127,0.27918863834880786,0.284013182954903,0.2826340137815017,0.2825888938573392,0.00482454460609516,4.511992416250665e-05
40,40,100,19,1639,53639,39261,50570,46208,92900,96778,3878,0.2817086041215353,0.18225892831975646,0.24761428650780426,0.2475312643872556,0.09944967580177885,8.302212054867031e-05
50,50,100,15,1626,79850,80514,79468,81276,160364,160744,380,0.24260383168181468,0.2355827916746702,0.24033311735788718,0.24030436156567753,0.007021040007144486,2.875579220965041e-05
