#j-A,#j-B,len,#steps,t(ms),fo-S-A,fo-S-B,fo-E-A,fo-E-B,sum-S,sum-E,diff_fo,foN-S-A,foN-S-B,foN-E-A,foN-E-B,max-diff-S,max-diff-E
10,10,100,5,71,5707,4226,5257,4773,9933,10030,97,0.3599941724941725,0.23473389355742297,0.2944347319347319,0.29602240896358545,0.12526027893674951,0.0015876770288535402
20,20,100,3,195,14525,13260,14267,13537,27785,27804,19,0.25173431451458356,0.23245201518793326,0.24184584722701313,0.24210122966523845,0.019282299326650293,0.0002553824382253156
30,30,100,2,369,34942,35569,35096,35423,70511,70519,8,0.27918863834880786,0.284013182954903,0.28167966096211705,0.28159520378927144,0.00482454460609516,8.445717284560894e-05
40,40,100,12,3220,53639,39261,49116,44503,92900,93619,719,0.2817086041215353,0.18225892831975646,0.23146142309615064,0.23151149571083612,0.09944967580177885,5.00726146854813e-05
50,50,100,4,1839,79850,80514,79295,81113,160364,160408,44,0.24260383168181468,0.2355827916746702,0.2393047572059514,0.23929436695644632,0.007021040007144486,1.0390249505082272e-05
